week,home,away,neutral,pred,spread_open,mkt_margin,edge,side_play,proj_total,total_open,tot_edge,tot_side,tot_play,tot_status,posted,posted_basis
1,St. Scholastica,Wisconsin Lutheran,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Grinnell,Mount Mercy,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Luther,Lawrence,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Geneva,Widener,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Pomona Pitzer,Willamette,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Montana,Drake,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Georgia,Tennessee State,FALSE,NA,-46.5,46.5,NA,NA,NA,56.5,NA,NA,NA,NA,NA,NA
1,Lake Erie,Saint Anselm,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Black Hills State,Dakota State University,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,South Dakota Mines,Southwest Baptist,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,American International,Lock Haven,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Claremont Mudd Scripps,Northwestern (MN),FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Shorter,Benedict,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,Lenoir Rhyne,West Alabama,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,App State,Maine,FALSE,NA,-17.5,17.5,NA,NA,NA,53.5,NA,NA,NA,NA,NA,NA
1,Tennessee,Furman,FALSE,NA,-46.5,46.5,NA,NA,NA,66.5,NA,NA,NA,NA,NA,NA
