week,kickoff,home,away,neutral,pred,spread_open,mkt_margin,edge,side_play,proj_total,total_open,tot_edge,tot_side,tot_play,tot_status,posted,posted_basis
3,2026-09-19,New Hampshire,Harvard,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Butler,Chicago State,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Colgate,Cornell,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Indiana State,Valparaiso,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Davidson,VMI,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,DePauw,Ohio Wesleyan,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Salisbury,Washington and Lee,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Northern Michigan,Davenport,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Utica,Hobart,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Centre,LaGrange,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Alvernia,King's,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Eastern,Lebanon Valley,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Gettysburg,Western Connecticut State,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Johns Hopkins,Susquehanna,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Curry,SUNY Maritime,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Amherst,Bates,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Williams,Bowdoin,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Trinity (CT),Colby,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Tufts,Hamilton,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Middlebury,Wesleyan (CT),FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Johnson C. Smith,Fayetteville State,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Minnesota Morris,Buena Vista,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Shaw,Lincoln (PA),FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Ashland,Ohio Dominican,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Southern Virginia,Keystone,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,UNC Pembroke,Valdosta State,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Fort Valley State,Benedict,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Wayne State (MI),Wisconsin La Crosse,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Elizabeth City State,Virginia State,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Washburn,Central Oklahoma,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,West Virginia State,West Virginia Wesleyan,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,West Liberty,Frostburg State,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Wheeling,Fairmont State,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Shippensburg,IU Pennsylvania,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Brockport,Rensselaer,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Lackawanna,Clarion,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Ithaca,Hilbert,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Hanover,Hope,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Manchester,Olivet,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Mount St Joseph,Adrian,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Nichols,Coast Guard,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Rose Hulman,Albion,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Mary Hardin Baylor,Endicott,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Dickinson,Lycoming,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Buffalo State,Alfred State,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Saint Anselm,Franklin Pierce,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Concordia St. Paul,Bemidji State,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Bryant,Princeton,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Catholic,Franklin & Marshall,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Mount Union,Heidelberg,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Marietta,Capital,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Franklin,Calvin,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Ohio Northern,Muskingum,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Quincy,Lincoln (MO),FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2026-09-19,Tusculum,Anderson (SC),FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
